X,Y,OBJECTID,vrsta,naziv,lokacija,broj_stalaka,broj_bicikala,godina_postavljanja,MJESNI_ODBOR,GRADSKA_CETVRT
15.978505835,45.797413809,94,stalci,NSK,Hrvatske Bratske Zajednice 4,3,6,2020,Miramare,TRNJE
16.004036849,45.808296759,95,stalci,Heinzelova 60,Heinzelova 60,3,6,2019,Donje Svetice,PEŠČENICA - ŽITNJAK
16.0037561520001,45.808543156,96,stalci,Heinzlova 60,Heinzelova 60,4,8,2019,Donje Svetice,PEŠČENICA - ŽITNJAK
15.899292073,45.7948559530001,97,stalci,"Gradska ljekarna, ul.Slavenskog 12",Ul. Slavenskog,6,12,2016,Prečko,TREŠNJEVKA - JUG
16.0158180450001,45.7978974430001,98,stalci,MUP  Heinzelova,Heinzelova 98,8,16,2018,Sigečica,TRNJE
16.01354152,45.7998361470001,99,stalci,Heinzelova 96,Heinzelova 96,2,4,2020,Ferenščica,PEŠČENICA - ŽITNJAK
16.0117149340001,45.8014569000001,100,stalci,Heinzelova 78b,Heinzelova 78b,3,6,2020,Ferenščica,PEŠČENICA - ŽITNJAK
15.989481434,45.802811154,101,stalci,"Gradska ljekarna, Strojarska 16",Strojarska 16,3,6,2016,"""Marin Držić""",TRNJE
16.0043598770001,45.793256173,102,stalci,Joze Laurenčića 8,Joze Laurenčića 8,3,6,2019,Folnegovićevo naselje,PEŠČENICA - ŽITNJAK
15.94999663,45.7908655690001,103,stalci,Albaharijeva 2,Albaharijeva 2,3,6,2016,Knežija,TREŠNJEVKA - JUG
15.978657146,45.790811332,104,stalci,Trnjanski nasip,Trnjanski nasip,7,14,2017,Cvjetno naselje,TRNJE
15.987943494,45.790045998,105,stalci,Obala Trnjanskih branitelja,Obala Trnjanskih branitelja,4,8,2017,Staro Trnje,TRNJE
15.9893591530001,45.7898710920001,106,stalci,Obala Trnjanskih branitelja,Obala Trnjanskih branitelja,5,10,2017,Staro Trnje,TRNJE
15.9327410970001,45.788315159,107,stalci,Dječji vrtić Jarun,Ulica Martina Pušteka,3,6,2019,Gajevo,TREŠNJEVKA - JUG
15.9694238750001,45.8069375220001,108,stalci,Marulićev trg 19,Marulićev trg 19,10,20,2020,"""Mimara""",DONJI GRAD
15.951936217,45.806530686,109,stalci,Zimsko plivalište Mladost,Trg K. Čosića 8,8,16,2019,"""Samoborček""",TREŠNJEVKA - SJEVER
15.9692951860001,45.7927595290001,110,stalci,"Gradska ljekarna,Ul. J.Marohnića3","Gradska ljekarna,Ul. J.Marohnića3",3,6,2016,Cvjetno naselje,TRNJE
15.9263283010001,45.8141669,111,stalci,Trg HOS-a 8,Trg HOS-a 8,3,6,2019,Gornja Kustošija,ČRNOMEREC
15.928491401,45.8138903,112,stalci,Ilica 298/2,Ilica 298/2,1,2,2017,Kustošija - centar,ČRNOMEREC
15.9300932560001,45.814176973,113,stalci,Tržnica Kustošija,Tržnica Kustošija,1,2,2017,Kustošija - centar,ČRNOMEREC
15.9360123000001,45.8151316,114,stalci,Ilica - Črnomerec,Ilica - Črnomerec,2,4,2017,"""Sveti Duh""",ČRNOMEREC
15.9879418470001,45.7900451730001,115,stalci,Savski nasip - Savica,Savski nasip - Savica,4,8,2017,Staro Trnje,TRNJE
16.0773891590001,45.8280114730001,116,stalci,Okretište Dubec,Okretište Dubec,6,12,2016,Dubec,GORNJA DUBRAVA
15.9634775230001,45.803326186,117,stalci,Tratinska/Cibona,Tratinska ulica,2,4,2014,"""Antun Mihanović""",TREŠNJEVKA - SJEVER
15.9721908180001,45.818399169,118,stalci,"Dubravkin put, Ljetno kino",Dubravkin put,5,10,2016,Gornji grad,GORNJI GRAD - MEDVEŠČAK
